Molecule,Route,Technical Specifications,Level 1,Level 2,Level 3,Level 4,ATC Code
Abacavir,Oral:,300 mg (as Sulfate) Tablet ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Nucleoside and nucleotide reverse transcriptase inhibitors,J05AF06
Acetated Ringer's Solution,Inj.:,"in 500 mL Bottle/Bag (IV Infusion)
Composed of:
Na+ = 130 mmol/L
K+ = 4 mmol/L
Ca++ = 3 mmol/L
Cl- = 109 mmol/L ",For fluid and electrolyte replacement therapy,For fluid and electrolyte replacement therapy,For fluid and electrolyte replacement therapy,For fluid and electrolyte replacement therapy,B05BB01
Acetated Ringer's Solution,Inj.:,"in 1 L Bottle/Bag (IV Infusion)
Composed of:
Na+ = 130 mmol/L
K+ = 4 mmol/L
Ca++ = 3 mmol/L
Cl- = 109 mmol/L ",For fluid and electrolyte replacement therapy,For fluid and electrolyte replacement therapy,For fluid and electrolyte replacement therapy,For fluid and electrolyte replacement therapy,B05BB01
Acetazolamide,Oral:,250 mg Tablet ,SENSORY ORGANS,OPHTHALMOLOGICALS,OTOLOGICALS,OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,S01EC01
Acetylcysteine,Oral:,600 mg Effervescent tablet ,RESPIRATORY SYSTEM,COUGH AND COLD PREPARATIONS," EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",Mucolytics,R05CB01
Acetylcysteine,Oral:,100 mg Sachet ,RESPIRATORY SYSTEM,COUGH AND COLD PREPARATIONS," EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",Mucolytics,R05CB01
Acetylcysteine,Oral:,200 mg Sachet ,RESPIRATORY SYSTEM,COUGH AND COLD PREPARATIONS," EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",Mucolytics,R05CB01
Acetylcysteine,Oral:,100 mg/5 mL Granules for suspension in 150 mL ,RESPIRATORY SYSTEM,COUGH AND COLD PREPARATIONS," EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",Mucolytics,R05CB01
Acetylcysteine,Inj.:,200 mg/mL in 10 mL Ampul (IV Infusion) ,RESPIRATORY SYSTEM,COUGH AND COLD PREPARATIONS," EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",Mucolytics,R05CB01
Acetylcysteine,Inj.:,200 mg/mL in 25 mL Bottle (IV Infusion) ,RESPIRATORY SYSTEM,COUGH AND COLD PREPARATIONS," EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",Mucolytics,R05CB01
